Draw Date,Winning Numbers
07/26/25,16 19 30 31 49 53
07/23/25,15 22 30 32 41 46
07/19/25,6 25 27 34 37 45
07/16/25,2 12 22 25 38 51
07/12/25,6 8 37 44 50 52
07/09/25,19 23 40 44 45 48
07/05/25,1 3 24 28 34 35
07/02/25,3 4 21 25 42 53
06/28/25,2 9 11 22 37 52
06/25/25,16 18 31 42 45 53
06/21/25,19 22 35 41 42 50
06/18/25,4 8 12 31 36 49
06/14/25,13 26 27 29 46 51
06/11/25,6 13 23 27 36 49
06/07/25,21 33 41 45 51 52
06/04/25,1 10 17 20 28 41
05/31/25,17 19 21 26 47 48
05/28/25,2 10 12 27 31 32
05/24/25,6 20 26 28 46 48
05/21/25,12 30 36 45 48 49
05/17/25,2 10 14 31 36 53
05/14/25,7 26 38 41 47 53
05/10/25,2 32 33 34 49 52
05/07/25,1 8 12 24 33 47
05/03/25,1 4 6 20 28 35
04/30/25,2 24 30 39 40 48
04/26/25,15 17 33 39 41 43
04/23/25,14 30 35 44 48 49
04/19/25,12 22 31 35 40 51
04/16/25,10 13 37 40 41 48
04/12/25,21 38 49 50 51 52
04/09/25,2 26 32 36 40 45
04/05/25,12 19 24 27 28 53
04/02/25,1 7 32 38 43 51
03/29/25,7 25 32 34 40 49
03/26/25,29 32 34 37 41 44
03/22/25,1 6 26 35 42 43
03/19/25,1 10 33 35 43 48
03/15/25,12 18 29 30 35 53
03/12/25,6 12 36 43 45 52
03/08/25,4 8 27 29 36 49
03/05/25,19 25 31 34 35 45
03/01/25,2 11 15 27 42 49
02/26/25,8 14 33 41 43 50
02/22/25,6 14 15 24 36 47
02/19/25,4 15 23 24 34 39
02/15/25,6 14 16 30 43 53
02/12/25,3 4 6 23 47 49
02/08/25,4 6 7 15 32 48
02/05/25,7 12 15 16 20 41
02/01/25,13 15 23 26 43 53
01/29/25,6 7 9 13 49 50
01/25/25,3 12 27 30 37 41
01/22/25,7 30 33 45 47 50
01/18/25,5 15 20 24 30 46
01/15/25,7 8 24 37 43 49
01/11/25,4 6 14 33 46 53
01/08/25,12 14 38 43 44 45
01/04/25,8 10 29 37 46 50
01/01/25,15 23 34 46 50 51
12/28/24,3 6 13 18 32 46
12/25/24,30 34 40 41 45 50
12/21/24,7 19 22 31 41 43
12/18/24,9 15 16 29 48 52
12/14/24,4 23 27 28 41 43
12/11/24,6 8 12 28 36 39
12/07/24,2 10 30 38 43 52
12/04/24,8 13 14 33 40 42
11/30/24,3 6 21 31 37 43
11/27/24,8 30 36 42 44 48
11/23/24,10 14 26 39 46 52
11/20/24,4 10 19 35 47 51
11/16/24,22 26 32 36 43 51
11/13/24,7 10 43 48 50 53
11/09/24,3 11 36 41 50 51
11/06/24,1 10 13 20 38 49
11/02/24,3 17 22 23 40 47
10/30/24,15 28 31 37 45 47
10/26/24,29 39 43 47 48 52
10/23/24,9 10 13 22 35 41
10/19/24,18 32 35 36 37 51
10/16/24,1 8 12 18 29 42
10/12/24,1 6 10 33 38 51
10/09/24,9 19 37 38 40 49
10/05/24,11 18 26 37 42 51
10/02/24,3 10 27 32 33 51
09/28/24,3 11 20 26 39 42
09/25/24,5 7 10 14 20 53
09/21/24,3 11 25 26 33 37
09/18/24,5 10 16 30 32 35
09/14/24,7 14 34 45 47 50
09/11/24,24 25 44 48 51 52
09/07/24,7 21 39 40 47 52
09/04/24,2 5 34 36 50 52
08/31/24,10 24 29 36 40 44
08/28/24,28 32 33 37 39 44
08/24/24,5 19 34 37 41 42
08/21/24,10 33 39 46 48 49
08/17/24,2 5 6 28 40 52
08/14/24,8 16 24 27 48 49
08/10/24,7 11 16 20 39 48
08/07/24,10 11 14 17 39 49
08/03/24,1 10 31 39 50 53
07/31/24,16 19 26 29 45 46
07/27/24,24 26 35 39 43 51
07/24/24,5 12 34 35 36 51
07/20/24,1 14 25 31 34 37
07/17/24,8 9 25 30 46 48
07/13/24,6 16 17 26 27 51
07/10/24,24 29 36 37 39 47
07/06/24,1 2 19 36 40 52
07/03/24,11 15 17 27 43 51
06/29/24,11 12 17 20 31 43
06/26/24,6 19 30 35 41 49
06/22/24,8 17 20 25 37 50
06/19/24,4 22 30 41 43 52
06/15/24,12 15 16 23 36 43
06/12/24,12 14 15 23 25 41
06/08/24,5 12 16 33 34 38
06/05/24,8 9 20 23 42 44
06/01/24,4 19 38 43 47 50
05/29/24,7 30 31 42 49 53
05/25/24,3 17 25 31 33 50
05/22/24,27 38 46 49 50 51
05/18/24,7 16 18 20 26 41
05/15/24,4 8 17 24 40 44
05/11/24,2 11 15 16 18 26
05/08/24,3 11 17 26 50 53
05/04/24,10 16 25 37 47 50
05/01/24,11 17 20 24 51 52
04/27/24,14 19 29 31 42 53
04/24/24,20 31 35 38 39 43
04/20/24,12 29 30 34 37 39
04/17/24,3 19 20 41 47 50
04/13/24,1 14 36 38 42 43
04/10/24,7 8 16 17 25 33
04/06/24,4 14 18 20 23 48
04/03/24,20 21 25 30 34 37
03/30/24,20 26 30 42 45 46
03/27/24,16 34 42 43 44 52
03/23/24,4 18 24 34 36 52
03/20/24,2 10 13 16 32 41
03/16/24,8 17 33 45 49 53
03/13/24,1 20 30 47 48 52
03/09/24,1 8 11 21 36 38
03/06/24,23 35 38 40 43 50
03/02/24,9 10 19 45 47 49
02/28/24,4 8 32 35 37 45
02/24/24,8 9 29 36 49 51
02/21/24,2 7 15 25 35 36
02/17/24,14 16 20 22 43 51
02/14/24,18 24 26 28 30 32
02/10/24,14 18 23 39 41 53
02/07/24,7 12 15 18 25 53
02/03/24,5 7 12 22 25 39
01/31/24,1 7 25 45 46 50
01/27/24,3 23 33 37 45 50
01/24/24,10 14 22 36 37 39
01/20/24,11 19 32 44 49 51
01/17/24,6 36 37 42 45 52
01/13/24,5 19 21 23 24 48
01/10/24,6 30 33 34 40 46
01/06/24,3 8 25 31 34 40
01/03/24,5 9 34 40 42 43
12/30/23,2 4 14 15 34 52
12/27/23,2 8 19 21 27 46
12/23/23,1 14 20 33 34 38
12/20/23,3 26 33 44 46 51
12/16/23,4 10 16 27 41 52
12/13/23,2 7 26 40 47 51
12/09/23,2 27 30 32 45 48
12/06/23,2 23 30 44 45 48
12/02/23,1 20 41 42 45 49
11/29/23,13 17 24 40 46 48
11/25/23,4 12 24 27 30 32
11/22/23,3 4 6 30 36 52
11/18/23,5 21 31 32 34 48
11/15/23,35 39 41 42 44 49
11/11/23,8 16 22 27 43 53
11/08/23,3 17 18 26 39 53
11/04/23,7 15 22 24 44 47
11/01/23,2 15 27 33 34 53
10/28/23,15 23 31 32 37 51
10/25/23,6 10 29 32 41 50
10/21/23,3 8 10 26 36 48
10/18/23,4 8 13 20 22 27
10/14/23,11 30 31 33 45 52
10/11/23,5 9 15 26 46 53
10/07/23,6 12 18 37 39 48
10/04/23,5 9 14 32 41 53
09/30/23,7 9 12 15 24 46
09/27/23,5 13 29 35 42 45
09/23/23,13 26 28 32 33 41
09/20/23,4 20 21 35 42 45
09/16/23,14 15 25 36 45 49
09/13/23,1 3 6 10 18 23
09/09/23,18 34 39 42 48 53
09/06/23,1 22 29 37 51 52
09/02/23,8 14 38 44 45 51
08/30/23,8 11 19 23 25 32
08/26/23,1 3 4 26 29 40
08/23/23,5 10 21 27 39 50
08/19/23,7 14 31 46 51 52
08/16/23,12 15 23 27 39 41
08/12/23,5 12 13 23 41 51
08/09/23,6 8 13 20 33 42
08/05/23,8 9 22 25 37 44
08/02/23,26 27 44 46 47 50
07/29/23,8 19 22 26 32 39
07/26/23,2 5 6 28 32 49
07/22/23,1 7 11 37 48 53
07/19/23,2 8 9 32 41 45
07/15/23,1 4 7 10 13 43
07/12/23,23 24 31 46 47 52
07/08/23,1 2 6 10 36 48
07/05/23,7 16 19 33 39 43
07/01/23,9 17 25 29 35 49
06/28/23,9 12 13 16 23 36
06/24/23,4 7 13 15 35 49
06/21/23,12 23 24 31 34 49
06/17/23,5 16 27 38 39 49
06/14/23,9 13 15 46 51 52
06/10/23,5 6 11 25 28 38
06/07/23,8 11 19 31 44 47
06/03/23,2 9 16 17 35 50
05/31/23,7 12 17 27 29 53
05/27/23,6 17 27 29 46 52
05/24/23,5 19 24 27 34 35
05/20/23,4 17 33 48 51 52
05/17/23,1 9 10 11 13 38
05/13/23,7 9 12 13 16 46
05/10/23,8 11 19 39 43 45
05/06/23,5 9 13 29 38 41
05/03/23,2 12 17 28 47 48
04/29/23,14 18 21 33 35 48
04/26/23,4 7 8 18 38 52
04/22/23,7 9 19 21 35 40
04/19/23,13 35 42 43 49 53
04/15/23,1 2 28 29 38 44
04/12/23,6 9 10 22 26 43
04/08/23,1 3 9 34 35 42
04/05/23,4 5 21 39 43 48
04/01/23,6 32 36 37 39 47
03/29/23,10 19 20 22 39 51
03/25/23,9 11 16 23 24 34
03/22/23,17 31 41 42 45 49
03/18/23,14 21 26 38 45 49
03/15/23,1 19 25 32 38 47
03/11/23,10 30 31 34 36 49
03/08/23,8 26 29 37 49 50
03/04/23,15 18 20 35 47 51
03/01/23,1 23 29 37 39 45
02/25/23,1 9 10 16 26 28
02/22/23,17 20 22 40 43 51
02/18/23,23 36 38 43 46 53
02/15/23,1 8 29 41 42 48
02/11/23,5 17 34 45 49 52
02/08/23,1 19 24 25 29 46
02/04/23,1 8 18 27 34 45
02/01/23,2 4 13 23 28 32
01/28/23,7 9 18 20 28 36
01/25/23,4 7 10 34 36 44
01/21/23,12 13 17 25 42 46
01/18/23,9 11 15 16 24 30
01/14/23,5 15 27 29 41 43
01/11/23,7 14 16 17 31 35
01/07/23,4 5 9 19 24 52
01/04/23,3 9 13 15 30 42
12/31/22,4 15 17 21 24 49
12/28/22,21 28 31 36 37 50
12/24/22,5 13 17 20 27 53
12/21/22,15 17 34 35 43 48
12/17/22,4 6 8 17 18 50
12/14/22,6 10 22 30 37 43
12/10/22,12 15 18 21 22 46
12/07/22,11 14 17 26 48 53
12/03/22,6 10 13 24 27 50
11/30/22,13 15 29 30 33 48
11/26/22,5 8 23 29 31 42
11/23/22,18 19 28 29 32 51
11/19/22,1 7 8 22 45 49
11/16/22,10 11 12 40 47 50
11/12/22,1 5 8 17 23 32
11/09/22,5 7 14 25 43 51
11/05/22,5 28 31 38 44 53
11/02/22,9 11 16 20 33 37
10/29/22,10 15 24 37 39 41
10/26/22,11 18 20 30 42 53
10/22/22,3 30 32 36 51 53
10/19/22,11 23 27 29 31 33
10/15/22,2 5 10 44 49 50
10/12/22,8 13 31 35 43 51
10/08/22,3 13 15 25 26 36
10/05/22,10 15 24 25 32 49
10/01/22,20 29 37 38 43 45
09/28/22,15 19 36 44 46 50
09/24/22,7 36 43 44 49 50
09/21/22,7 10 15 19 20 49
09/17/22,3 13 19 39 48 52
